,epoch,z,ielement,atwt,alat,ibar,rho0,re,zbl,alpha,b0,b1,b2,b3,esub,asub,t1,t2,t3,rozero,rc,delr,attrac,repuls,Cmin,Cmax,Ec,emb_lin_neg,bkgd_dyn,lattice_constant_fcc,bulk_modulus_fcc,c44_fcc,c12_fcc,c11_fcc,cohesive_energy_fcc,thermal_expansion_coeff_fcc,surface_energy_100_fcc
34,300,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.404170989990234,2.99686861038208,2.2236928939819336,5.334980010986328,0.6585960388183594,4.6502814292907715,0.7994921207427979,3.838122844696045,3.451930046081543,4.780994415283203,1.9105207920074463,4.199483394622803,0.14471153914928436,0.07938908040523529,0.06581075489521027,1.1270523071289062,2.8182132244110107,4.423498153686523,0.45732396841049194,-0.062360577285289764,3.523751974105835,186.2113800048828,131.64646911621094,152.8329315185547,258.3645324707031,4.448432922363281,1.236826392414514e-05,0.12221802026033401
35,310,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.405463218688965,2.9928171634674072,2.224581241607666,5.341955184936523,0.6641554832458496,4.653160095214844,0.7993958592414856,3.8396918773651123,3.4633874893188477,4.774600982666016,1.9190404415130615,4.2038893699646,0.14473974704742432,0.07963616400957108,0.06592956930398941,1.127832055091858,2.8165910243988037,4.4253082275390625,0.4566067159175873,-0.061831846833229065,3.5233168601989746,186.19984436035156,131.62548828125,152.79037475585938,258.3636169433594,4.448885917663574,1.2369005162327085e-05,0.12222693860530853
36,320,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.406736373901367,2.989204168319702,2.2251458168029785,5.347801208496094,0.6691076755523682,4.6559977531433105,0.7993148565292358,3.8408260345458984,3.4740681648254395,4.76937198638916,1.926609754562378,4.207314491271973,0.14479124546051025,0.07985121756792068,0.06603803485631943,1.1285502910614014,2.8151352405548096,4.426634788513184,0.45600318908691406,-0.06146550923585892,3.5229244232177734,186.19400024414062,131.61038208007812,152.75372314453125,258.36822509765625,4.449146270751953,1.2369888281682506e-05,0.12223731726408005
37,330,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.407625198364258,2.9861912727355957,2.2256007194519043,5.353046894073486,0.6731991767883301,4.658416748046875,0.7992295622825623,3.841909885406494,3.482590913772583,4.764482021331787,1.9330942630767822,4.2103681564331055,0.14484329521656036,0.08005261421203613,0.0661284476518631,1.129216194152832,2.8137319087982178,4.428076267242432,0.4554351270198822,-0.06107842177152634,3.5226407051086426,186.18502807617188,131.59649658203125,152.71722412109375,258.3697509765625,4.449544906616211,1.2370848708087578e-05,0.1222459003329277
38,340,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.4085259437561035,2.9836108684539795,2.2260067462921143,5.3575358390808105,0.6768229007720947,4.660617828369141,0.7991681098937988,3.842897891998291,3.490328550338745,4.760101795196533,1.9388442039489746,4.212770462036133,0.1449001133441925,0.0802212804555893,0.0662079006433487,1.1297796964645386,2.8124992847442627,4.429157257080078,0.454935222864151,-0.06078718602657318,3.522366762161255,186.1799774169922,131.58261108398438,152.68624877929688,258.3721618652344,4.449709415435791,1.23719373732456e-05,0.12225355207920074
39,350,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.409450531005859,2.981447458267212,2.226196527481079,5.361423969268799,0.6801149845123291,4.662761688232422,0.7991208434104919,3.843626022338867,3.4976961612701416,4.756700038909912,1.9441845417022705,4.214712142944336,0.14496085047721863,0.0803728923201561,0.06628472357988358,1.1303837299346924,2.8113505840301514,4.4300103187561035,0.45450201630592346,-0.060580089688301086,3.5221428871154785,186.1790771484375,131.5721435546875,152.65975952148438,258.3800964355469,4.449887275695801,1.2372636774671264e-05,0.12226340174674988
40,360,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.410279273986816,2.9796903133392334,2.2262723445892334,5.364866733551025,0.683029055595398,4.664716720581055,0.7990862727165222,3.8441598415374756,3.50441312789917,4.75405216217041,1.9490307569503784,4.216294288635254,0.1450210064649582,0.08051375299692154,0.06635560095310211,1.1309958696365356,2.810274124145508,4.43070125579834,0.45413392782211304,-0.06041690707206726,3.5219781398773193,186.17526245117188,131.5620880126953,152.63278198242188,258.38409423828125,4.450036525726318,1.2373299796308856e-05,0.1222715973854065
41,370,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.411158084869385,2.978214740753174,2.226219654083252,5.36782169342041,0.6857181787490845,4.666624069213867,0.7990625500679016,3.844499349594116,3.5108084678649902,4.752131462097168,1.9534900188446045,4.21746301651001,0.145084410905838,0.08063852041959763,0.06642414629459381,1.131596326828003,2.8093085289001465,4.431127071380615,0.4538304805755615,-0.06033711135387421,3.5218300819396973,186.1754150390625,131.55389404296875,152.61061096191406,258.391845703125,4.450113773345947,1.2373874596960377e-05,0.1222805380821228
42,380,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.411938190460205,2.977034568786621,2.2261013984680176,5.370491027832031,0.6881053447723389,4.668368816375732,0.7990421056747437,3.8447227478027344,3.5165176391601562,4.750741004943848,1.957520842552185,4.218414783477783,0.14514514803886414,0.08075718581676483,0.06648797541856766,1.1321918964385986,2.8084073066711426,4.431475639343262,0.4535754919052124,-0.06028010696172714,3.5217254161834717,186.1737060546875,131.54603576660156,152.5889129638672,258.397216796875,4.45020866394043,1.2374463949527126e-05,0.12228807806968689
43,390,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.412693977355957,2.97605562210083,2.2259409427642822,5.372859477996826,0.6902711391448975,4.670012950897217,0.7990253567695618,3.8448591232299805,3.521777868270874,4.749789237976074,1.9611963033676147,4.219112396240234,0.14520512521266937,0.08086510002613068,0.066548191010952,1.1327561140060425,2.8076012134552,4.4316864013671875,0.45336729288101196,-0.06026585400104523,3.521634817123413,186.17312622070312,131.5389404296875,152.57008361816406,258.403076171875,4.450262546539307,1.237505057360977e-05,0.12229504436254501
